ID_Actividad,ID_Usuario,Fecha_Actividad,Tipo_Evento,Duracion_Minutos,ID_Contenido
ACT-000001,USR-04725,2025-06-19,Interacción con Contenido,79.0,CONT-0017
ACT-000002,USR-03005,2025-06-08,Sesión de Entrenamiento Completada,68.0,CONT-0138
ACT-000003,USR-06974,2025-08-17,Interacción con Contenido,70.0,CONT-0265
ACT-000004,USR-05260,2024-11-21,Interacción con Contenido,81.0,CONT-0254
ACT-000005,USR-01143,2024-11-27,inicio de sesion,45.0,CONT-0424
ACT-000006,USR-07311,2025-06-15,Sesión de Entrenamiento Completada,25.0,CONT-0043
ACT-000007,USR-07742,2024-12-22,Sesión de Entrenamiento Completada,25.0,CONT-0255
ACT-000008,USR-03534,2025-05-01,Sesión de Entrenamiento Completada,2.0,CONT-0047
ACT-000009,USR-00247,2024-11-19,Sesión de Entrenamiento Completada,65.0,CONT-0300
ACT-000010,USR-04563,2025-02-03,Interacción con Contenido,26.0,CONT-0119
ACT-000011,USR-02957,2024-09-29,Interacción con Contenido,12.0,CONT-0326
ACT-000012,USR-00835,2024-12-18,inicio de sesion,23.0,CONT-0293
ACT-000013,USR-05961,2025-02-01,Interacción con Contenido,32.0,CONT-0384
ACT-000014,USR-01796,2024-12-17,Sesión de Entrenamiento Completada,57.0,CONT-0471
ACT-000015,USR-04461,2025-03-11,inicio de sesion,21.0,CONT-0147
ACT-000016,USR-03248,2025-05-21,Sesión de Entrenamiento Completada,,CONT-0033
ACT-000017,USR-00916,2025-02-03,Interacción con Contenido,86.0,CONT-0081
ACT-000018,USR-00261,2025-07-06,Interacción con Contenido,66.0,CONT-0404
ACT-000019,USR-03879,2025-03-16,Interacción con Contenido,76.0,CONT-0015
ACT-000020,USR-03364,2025-03-03,Interacción con Contenido,31.0,CONT-0141
ACT-000021,USR-06456,2024-10-15,Interacción con Contenido,37.0,CONT-0499
ACT-000022,USR-04180,2025-08-26,Sesión de Entrenamiento Completada,11.0,CONT-0407
ACT-000023,USR-03181,2025-04-02,Interacción con Contenido,77.0,CONT-0143
ACT-000024,USR-07916,2024-10-16,Interacción con Contenido,24.0,CONT-0325
ACT-000025,USR-01272,2025-04-06,Interacción con Contenido,78.0,CONT-0209
