ID_Progreso,ID_Usuario,ID_Plan,Porcentaje_Completado,Fecha_Actualizacion,Tipo_Plan
PROG-00001,USR-04725,PLAN-014,27.0,2025-07-08,Yoga
PROG-00002,USR-03005,PLAN-029,85.0,2024-12-22,Meditación
PROG-00003,USR-06974,PLAN-072,4.0,2025-04-24,Cardio
PROG-00004,USR-05260,PLAN-100,76.0,2024-12-26,Meditación
PROG-00005,USR-01143,PLAN-001,58.0,2025-02-22,Meditación
PROG-00006,USR-07311,PLAN-050,44.0,2025-06-27,Cardio
PROG-00007,USR-07742,PLAN-029,50.0,2025-05-27,Yoga
PROG-00008,USR-03534,PLAN-088,19.0,2025-05-29,Yoga
PROG-00009,USR-00247,PLAN-016,56.0,2025-09-04,Fuerza
PROG-00010,USR-04563,PLAN-035,22.0,2025-09-06,Cardio
PROG-00011,USR-02957,PLAN-064,35.0,2024-11-30,Cardio
PROG-00012,USR-00835,PLAN-089,46.0,2024-11-26,Fuerza
PROG-00013,USR-05961,PLAN-095,27.0,2025-05-24,Yoga
PROG-00014,USR-01796,PLAN-073,74.0,2025-01-18,HIIT
PROG-00015,USR-04461,PLAN-061,59.0,2025-03-01,Yoga
PROG-00016,USR-03248,PLAN-088,78.0,2024-10-01,HIIT
PROG-00017,USR-00916,PLAN-031,46.0,2025-08-31,Fuerza
PROG-00018,USR-00261,PLAN-002,12.0,2025-07-02,HIIT
PROG-00019,USR-03879,PLAN-088,58.0,2025-04-11,Cardio
PROG-00020,USR-03364,PLAN-025,52.0,2024-12-22,Cardio
PROG-00021,USR-06456,PLAN-058,7.0,2025-01-01,HIIT
PROG-00022,USR-04180,PLAN-082,30.0,2025-01-14,Cardio
PROG-00023,USR-03181,PLAN-024,4.0,2025-04-24,Yoga
PROG-00024,USR-07916,PLAN-003,89.0,2025-01-27,HIIT
PROG-00025,USR-01272,PLAN-039,79.0,2025-02-24,HIIT
PROG-00026,USR-03490,PLAN-096,,2025-01-12,Yoga
PROG-00027,USR-00494,PLAN-065,12.0,2024-10-01,HIIT
PROG-00028,USR-05335,PLAN-017,24.0,2024-10-04,Cardio
PROG-00029,USR-01832,PLAN-048,41.0,2025-03-24,Meditación
PROG-00030,USR-03822,PLAN-006,48.0,2025-09-11,Yoga
PROG-00031,USR-01225,PLAN-033,,2024-10-03,Cardio
PROG-00032,USR-04803,PLAN-015,63.0,2025-04-04,Yoga
PROG-00033,USR-03469,PLAN-050,2.0,2025-03-06,HIIT
PROG-00034,USR-00525,PLAN-069,88.0,2024-10-23,Yoga
PROG-00035,USR-04797,PLAN-057,48.0,2025-04-26,Yoga
PROG-00036,USR-03986,PLAN-048,10.0,2025-05-18,HIIT
PROG-00037,USR-02334,PLAN-072,31.0,2024-10-17,Meditación
PROG-00038,USR-04623,PLAN-096,27.0,2025-06-06,Yoga
PROG-00039,USR-03690,PLAN-063,93.0,2025-06-01,Fuerza
PROG-00040,USR-04804,PLAN-098,99.0,2025-04-16,Fuerza
PROG-00041,USR-02189,PLAN-010,39.0,2025-06-06,Yoga
PROG-00042,USR-03089,PLAN-080,89.0,2024-10-14,Cardio
PROG-00043,USR-02589,PLAN-097,69.0,2024-11-13,Meditación
PROG-00044,USR-05369,PLAN-021,19.0,2025-09-12,Cardio
PROG-00045,USR-03914,PLAN-033,59.0,2024-11-25,HIIT
PROG-00046,USR-06704,PLAN-011,57.0,2025-04-28,Fuerza
PROG-00047,USR-03252,PLAN-023,25.0,2025-03-20,Yoga
PROG-00048,USR-01490,PLAN-048,99.0,2025-07-05,Yoga
PROG-00049,USR-05317,PLAN-055,63.0,2025-03-04,Cardio
PROG-00050,USR-06652,PLAN-079,19.0,2025-09-05,Fuerza
PROG-00051,USR-05482,PLAN-077,93.0,2024-12-12,HIIT
PROG-00052,USR-01254,PLAN-034,56.0,2025-01-05,Fuerza
PROG-00053,USR-02782,PLAN-073,28.0,2024-09-22,Fuerza
PROG-00054,USR-00686,PLAN-043,24.0,2024-12-16,Cardio
PROG-00055,USR-02681,PLAN-026,37.0,2025-05-07,Cardio
PROG-00056,USR-05884,PLAN-034,32.0,2024-11-17,Yoga
PROG-00057,USR-04507,PLAN-077,97.0,2025-06-07,Meditación
PROG-00058,USR-02125,PLAN-059,78.0,2025-04-06,Fuerza
PROG-00059,USR-01890,PLAN-086,5.0,2024-09-20,Cardio
PROG-00060,USR-04764,PLAN-062,22.0,2024-12-17,Meditación
PROG-00061,USR-02428,PLAN-022,3.0,2025-04-12,HIIT
PROG-00062,USR-01485,PLAN-058,80.0,2025-04-18,Fuerza
PROG-00063,USR-01595,PLAN-065,80.0,2025-07-17,Fuerza
PROG-00064,USR-01331,PLAN-054,,2025-06-24,Fuerza
PROG-00065,USR-07018,PLAN-092,71.0,2025-01-07,Cardio
PROG-00066,USR-07376,PLAN-024,97.0,2025-06-11,Meditación
PROG-00067,USR-00384,PLAN-035,67.0,2024-10-08,Fuerza
PROG-00068,USR-04564,PLAN-031,25.0,2025-02-08,Yoga
PROG-00069,USR-01960,PLAN-010,88.0,2025-05-29,Fuerza
PROG-00070,USR-03809,PLAN-005,100.0,2025-04-04,Fuerza
PROG-00071,USR-04910,PLAN-090,1.0,2025-02-14,Meditación
PROG-00072,USR-01554,PLAN-032,9.0,2025-05-09,Cardio
PROG-00073,USR-00231,PLAN-062,,2024-12-19,Fuerza
PROG-00074,USR-05071,PLAN-036,36.0,2025-05-06,Fuerza
PROG-00075,USR-07350,PLAN-093,84.0,2025-07-06,HIIT
PROG-00076,USR-04883,PLAN-057,49.0,2024-12-08,HIIT
PROG-00077,USR-03362,PLAN-071,91.0,2025-01-19,Meditación
PROG-00078,USR-02230,PLAN-050,0.0,2025-04-27,Meditación
PROG-00079,USR-07939,PLAN-032,51.0,2024-12-25,Yoga
PROG-00080,USR-03193,PLAN-076,20.0,2025-04-08,Yoga
PROG-00081,USR-01194,PLAN-065,31.0,2025-06-20,Cardio
PROG-00082,USR-03121,PLAN-038,58.0,2025-08-27,HIIT
PROG-00083,USR-07117,PLAN-040,24.0,2024-10-08,Meditación
PROG-00084,USR-01873,PLAN-060,17.0,2024-11-04,Yoga
PROG-00085,USR-05460,PLAN-096,,2025-04-06,HIIT
PROG-00086,USR-00737,PLAN-016,83.0,2025-04-08,HIIT
PROG-00087,USR-02994,PLAN-018,81.0,2024-10-03,Meditación
PROG-00088,USR-01909,PLAN-090,23.0,2025-08-07,Cardio
PROG-00089,USR-02211,PLAN-057,4.0,2025-04-26,Yoga
PROG-00090,USR-07250,PLAN-030,87.0,2025-06-04,HIIT
PROG-00091,USR-05593,PLAN-062,32.0,2025-07-31,Fuerza
PROG-00092,USR-03502,PLAN-080,5.0,2025-06-10,Yoga
PROG-00093,USR-03841,PLAN-076,97.0,2025-05-31,HIIT
PROG-00094,USR-03603,PLAN-066,7.0,2025-02-06,Cardio
PROG-00095,USR-04418,PLAN-078,54.0,2024-09-13,Fuerza
PROG-00096,USR-00374,PLAN-050,4.0,2025-03-20,Fuerza
PROG-00097,USR-07383,PLAN-002,79.0,2024-10-02,HIIT
PROG-00098,USR-02391,PLAN-085,20.0,2025-09-01,Meditación
PROG-00099,USR-07487,PLAN-088,57.0,2025-06-02,Yoga
PROG-00100,USR-00606,PLAN-002,67.0,2025-04-20,Cardio
PROG-00101,USR-04905,PLAN-025,78.0,2025-03-19,Yoga
PROG-00102,USR-05595,PLAN-038,2.0,2025-09-02,Cardio
PROG-00103,USR-03971,PLAN-049,70.0,2025-05-10,Meditación
PROG-00104,USR-05193,PLAN-099,36.0,2025-03-01,Cardio
PROG-00105,USR-04009,PLAN-017,21.0,2025-04-19,Meditación
PROG-00106,USR-00647,PLAN-074,33.0,2025-05-18,Meditación
PROG-00107,USR-05310,PLAN-039,62.0,2025-04-04,Yoga
PROG-00108,USR-05753,PLAN-074,23.0,2025-01-14,Yoga
PROG-00109,USR-07601,PLAN-071,,2025-01-05,Meditación
PROG-00110,USR-02087,PLAN-077,44.0,2025-01-07,Yoga
PROG-00111,USR-03705,PLAN-071,57.0,2025-02-09,Fuerza
PROG-00112,USR-07082,PLAN-028,17.0,2025-01-26,Fuerza
PROG-00113,USR-04824,PLAN-006,1.0,2024-11-26,Fuerza
PROG-00114,USR-06735,PLAN-017,8.0,2025-04-26,HIIT
PROG-00115,USR-01019,PLAN-049,54.0,2025-07-13,Yoga
PROG-00116,USR-02713,PLAN-043,,2024-12-01,Cardio
PROG-00117,USR-03239,PLAN-042,84.0,2024-12-12,Meditación
PROG-00118,USR-01056,PLAN-082,,2024-09-18,HIIT
PROG-00119,USR-01968,PLAN-029,21.0,2025-05-12,Fuerza
PROG-00120,USR-02830,PLAN-007,72.0,2025-04-23,Cardio
PROG-00121,USR-06857,PLAN-073,47.0,2025-04-05,Fuerza
PROG-00122,USR-04038,PLAN-044,95.0,2025-03-05,Meditación
PROG-00123,USR-06225,PLAN-032,24.0,2025-01-21,Yoga
PROG-00124,USR-07169,PLAN-007,18.0,2025-05-12,Cardio
PROG-00125,USR-02390,PLAN-044,71.0,2025-05-14,Cardio
PROG-00126,USR-04368,PLAN-049,96.0,2024-09-29,Meditación
PROG-00127,USR-04492,PLAN-036,7.0,2025-06-29,Cardio
PROG-00128,USR-06212,PLAN-068,97.0,2024-10-24,Yoga
PROG-00129,USR-01058,PLAN-050,82.0,2024-11-04,Fuerza
PROG-00130,USR-04191,PLAN-001,30.0,2025-03-21,Yoga
PROG-00131,USR-00336,PLAN-078,41.0,2025-05-03,Meditación
PROG-00132,USR-03829,PLAN-036,6.0,2025-04-06,Yoga
PROG-00133,USR-07344,PLAN-074,16.0,2025-07-28,Meditación
PROG-00134,USR-07440,PLAN-083,84.0,2025-09-03,Yoga
PROG-00135,USR-01501,PLAN-059,8.0,2024-12-30,Cardio
PROG-00136,USR-05074,PLAN-030,19.0,2025-05-27,HIIT
PROG-00137,USR-00338,PLAN-022,21.0,2024-12-30,Meditación
PROG-00138,USR-05612,PLAN-066,19.0,2024-09-17,Yoga
PROG-00139,USR-06325,PLAN-064,43.0,2025-01-18,Meditación
PROG-00140,USR-01957,PLAN-057,12.0,2025-09-12,Fuerza
PROG-00141,USR-05461,PLAN-014,68.0,2025-07-27,Meditación
PROG-00142,USR-01037,PLAN-091,16.0,2025-05-29,Meditación
PROG-00143,USR-04301,PLAN-012,22.0,2025-01-27,Fuerza
PROG-00144,USR-03788,PLAN-045,29.0,2025-03-03,Meditación
PROG-00145,USR-04392,PLAN-085,81.0,2025-01-12,Meditación
PROG-00146,USR-05381,PLAN-095,41.0,2024-10-03,Cardio
PROG-00147,USR-01955,PLAN-089,100.0,2025-05-23,Cardio
PROG-00148,USR-02344,PLAN-030,,2025-02-02,Cardio
